Date,Close,High,Low,Open,Volume,Daily_Return,MA50,MA200
2020-01-01,675.32421875,683.1529137163456,673.490123328754,679.0819971118469,14004468,,,
2020-01-02,686.8212280273438,689.3487905881979,676.397899264457,676.397899264457,17710316,1.7024429093664528,,
2020-01-03,687.6488647460938,689.6619561224467,681.3187895160008,685.7923126356704,20984698,0.12050249540584979,,
2020-01-06,671.70068359375,683.5107670428088,670.13493269889,679.9767186772816,24519177,-2.319233255512232,,
2020-01-07,682.0345458984375,686.4633346701793,677.0688889990518,679.5293205694625,16683622,1.5384623772301431,,
2020-01-08,676.912353515625,686.440941615489,675.5032015883575,677.7399630034671,16047902,-0.7510165597352625,,
2020-01-09,692.5025634765625,693.3972440896104,685.0094043047601,688.2974451452224,14982742,2.3031356836624273,,
2020-01-10,692.3460083007812,696.9537331994524,688.7671661721967,694.247234586273,12478359,-0.022607161913634766,,
2020-01-13,690.5790405273438,697.289325272827,688.2080768341074,691.182979891191,18282382,-0.25521455345343114,,
2020-01-14,684.1818237304688,693.3972733335526,680.8043146862556,688.9237506296278,15816535,-0.9263554816245079,,
2020-01-15,681.6990356445312,688.8790573291237,679.1938699492092,687.0672990416617,15817859,-0.36288425091450804,,
2020-01-16,687.9842529296875,690.4223472080394,683.5554644082378,684.0028644434916,12847975,0.9219929846627561,,
2020-01-17,707.2653198242188,709.0323441677112,694.8288990509899,694.9631011634697,29463471,2.8025447984347585,,
2020-01-20,685.5015258789062,719.7911481994419,682.839761284159,719.7911481994419,32545850,-3.077175330853432,,
2020-01-21,686.1950073242188,691.5408742450458,680.8714775601642,683.8240435553602,18922720,0.1011640994414087,,
2020-01-22,685.9488525390625,691.9433921150559,684.9423069375898,690.7131763493682,10322817,-0.03587242438795046,,
2020-01-23,683.0411376953125,689.796156393504,680.2899048582964,687.3580618125278,11247739,-0.42389674288206836,,
2020-01-24,680.6701049804688,687.2909208972738,679.3280242942884,683.1081395891008,14628445,-0.3471288307530074,,
2020-01-27,673.9598388671875,681.9674704241261,673.2664314282462,677.6952802850295,13387750,-0.9858323531740543,,
2020-01-28,658.3919067382812,675.5031818296184,654.7459935025485,674.8768456496997,24532236,-2.3099198544342503,,
2020-01-29,662.0155029296875,668.5244541677285,654.9472866809749,659.4208095162297,24746565,0.5503707069179908,,
2020-01-30,645.8660278320312,661.9483606637074,644.1884717288344,661.6352224321117,22402689,-2.4394406212827735,,
2020-01-31,631.5060424804688,650.115939458839,629.5153479649114,650.004074503463,34750310,-2.2233690475661705,,
2020-02-03,619.8077392578125,626.2720164126083,609.7646795449248,612.8290505582687,30712290,-1.8524451764082794,,
2020-02-04,638.1045532226562,640.8333893471847,625.3102596223829,626.2944084877797,25383901,2.9520144402767956,,
2020-02-05,647.9909057617188,649.9145288544571,639.849132797698,641.9068982608502,18472100,1.5493311384682684,,
2020-02-06,652.1513061523438,656.26695662953,644.2332031533095,650.4961469348968,15538577,0.6420461079981399,,
2020-02-07,641.3477783203125,649.7132815022266,638.9544179355763,649.109342186217,12209212,-1.6565983584041932,,
2020-02-10,642.2201538085938,646.6489428047836,630.9692153123326,638.8202476362594,15142476,0.1360222203569572,,
2020-02-11,649.8922729492188,655.9091502920886,646.4476326193693,647.4989123607826,13999816,1.1946244749758472,,
2020-02-12,657.7432861328125,659.7787743619559,650.8987994375913,651.4132707150139,13533565,1.2080483966928401,,
2020-02-13,659.4654541015625,661.0759388268148,654.2985245799224,661.0759388268148,13565659,0.261829805800895,,
2020-02-14,665.4824829101562,671.6782959370149,650.0487633667867,660.8523610746443,21227841,0.912410008920217,,
2020-02-17,661.2997436523438,673.7808982963232,659.5327193324579,666.108801931165,13149130,-0.6285273264476254,,
2020-02-18,656.4458618164062,660.248373884015,651.9723392868693,660.248373884015,11127161,-0.7339911866787729,,
2020-02-19,672.7295532226562,673.9150349477495,659.8905275306022,661.7917537765035,14084409,2.480584059314883,,
2020-02-20,664.744384765625,674.6085086758875,663.7825731086709,669.6876451612479,16892268,-1.1869804765940462,,
2020-02-24,646.40283203125,660.7404777544862,643.9871345353313,657.4971707893623,21370214,-2.7591888182465607,,
2020-02-25,633.6309204101562,649.2882495489266,630.7678229370605,649.2882495489266,27745062,-1.9758440075145378,,
